單季,,,,,
公司,年/月,季別,幣別,總資產,總收入
2731雄獅,2023/12,4,NTD,9472000000,810000000
2731雄獅,2023/09,3,NTD,9224000000,264000000
2731雄獅,2023/06,2,NTD,8417000000,225000000
2731雄獅,2023/03,1,NTD,7636000000,93000000
2739寒舍,2023/12,4,NTD,13620000000,161000000
2739寒舍,2023/09,3,NTD,13510000000,132000000
2739寒舍,2023/06,2,NTD,13600000000,39000000
2739寒舍,2023/03,1,NTD,13890000000,82000000
,,,,,
累季,,,,,
公司,年/月,季別,幣別,總資產,總收入
2731雄獅,2023/12,4,NTD,9472000000,1392000000
2731雄獅,2023/09,3,NTD,9224000000,582000000
2731雄獅,2023/06,2,NTD,8417000000,318000000
2731雄獅,2023/03,1,NTD,7636000000,93000000
2739寒舍,2023/12,4,NTD,13620000000,414000000
2739寒舍,2023/09,3,NTD,13510000000,253000000
2739寒舍,2023/06,2,NTD,13600000000,121000000
2739寒舍,2023/03,1,NTD,13890000000,82000000
,,,,,
累季的總收入資料會將同年度所有季度的資料加總,,,,,